GM = 4.911328E12
orbital radius = 1837400.0 m
velocity = 1634.9241672822895 m/s
predicted period = 7061.3212003602575 s
state.size = 4
state = [ 1837400.0, 0.0, 0.0, 1634.9241672822895 ]

t, x, y, vx, vy, am, en, radius, v
6.5, 1837369.2682690704, 10626.947839360106, -9.455890849579925, 1634.896822093654, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
7.0, 1837364.3584817774, 11444.395171704591, -10.183257998339279, 1634.8924533498305, 3.0040096649644785E9, -1336488.5163818442, 1837399.9999999998, 1634.9241672822898
7.5, 1837359.085011408, 12261.840238775549, -10.910623131451285, 1634.8877609996875, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
8.0, 1837353.4478590058, 13079.282878770045, -11.637986104943199, 1634.8827450441543, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
8.5, 1837347.4470256867, 13896.722929885635, -12.365346774842703, 1634.8774054842233, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
9.0, 1837341.0825126388, 14714.160230320378, -13.092704997177936, 1634.8717423209519, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
9.5, 1837334.3543211215, 15531.594618272882, -13.82006062797752, 1634.8657555554605, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
10.0, 1837327.2624524666, 16349.025931942331, -14.547413523270594, 1634.8594451889344, 3.004009664964478E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
10.5, 1837319.806908078, 17166.45400952852, -15.274763539086834, 1634.8528112226227, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
11.0, 1837311.9876894315, 17983.878689231875, -16.002110531456488, 1634.8458536578385, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
11.5, 1837303.8047980745, 18801.299809253505, -16.729454356410404, 1634.8385724959587, 3.0040096649644775E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
12.0, 1837295.2582356269, 19618.717207795224, -17.456794869980055, 1634.8309677384248, 3.0040096649644775E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
12.5, 1837286.3480037802, 20436.130723059574, -18.184131928197566, 1634.823039386742, 3.0040096649644775E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
13.0, 1837277.0741042984, 21253.540193249868, -18.911465387095753, 1634.8147874424797, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999993, 1634.9241672822893
13.5, 1837267.436539017, 22070.945456570225, -19.63879510270814, 1634.806211907271, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999993, 1634.9241672822893
14.0, 1837257.4353098434, 22888.346351225595, -20.366120931068995, 1634.7973127828136, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999993, 1634.9241672822893
14.5, 1837247.0704187576, 23705.74271542179, -21.09344272821335, 1634.7880900708687, 3.004009664964477E9, -1336488.516381845, 1837399.9999999993, 1634.9241672822893
15.0, 1837236.341867811, 24523.13438736552, -21.82076035017704, 1634.778543773262, 3.004009664964477E9, -1336488.5163818453, 1837399.9999999993, 1634.9241672822893
15.5, 1837225.2496591273, 25340.521205264424, -22.548073652996724, 1634.768673891883, 3.0040096649644766E9, -1336488.5163818453, 1837399.9999999993, 1634.9241672822893
16.0, 1837213.793794902, 26157.9030073271, -23.275382492709916, 1634.7584804286855, 3.0040096649644775E9, -1336488.5163818453, 1837399.9999999993, 1634.9241672822893
16.5, 1837201.9742774025, 26975.27963176314, -24.002686725355016, 1634.747963385687, 3.0040096649644766E9, -1336488.5163818456, 1837399.9999999993, 1634.924167282289
17.0, 1837189.7911089684, 27792.650916783165, -24.729986206971333, 1634.7371227649692, 3.0040096649644766E9, -1336488.5163818453, 1837399.9999999993, 1634.9241672822893
17.5, 1837177.2442920113, 28610.016700598848, -25.457280793599118, 1634.725958568678, 3.004009664964477E9, -1336488.5163818458, 1837399.999999999, 1634.9241672822893
18.0, 1837164.3338290146, 29427.37682142295, -26.18457034127959, 1634.714470799023, 3.004009664964477E9, -1336488.5163818456, 1837399.999999999, 1634.9241672822893
18.5, 1837151.0597225337, 30244.731117469353, -26.911854706054964, 1634.7026594582783, 3.004009664964477E9, -1336488.5163818456, 1837399.999999999, 1634.9241672822893
19.0, 1837137.4219751963, 31062.0794269531, -27.639133743968486, 1634.6905245487815, 3.0040096649644775E9, -1336488.5163818458, 1837399.999999999, 1634.9241672822893
19.5, 1837123.4205897017, 31879.42158809041, -28.36640731106445, 1634.6780660729348, 3.0040096649644775E9, -1336488.516381845, 1837399.9999999993, 1634.9241672822893
20.0, 1837109.0555688213, 32696.75743909872, -29.093675263388235, 1634.6652840332042, 3.004009664964478E9, -1336488.516381845, 1837399.9999999993, 1634.9241672822893
20.5, 1837094.3269153982, 33514.08681819672, -29.820937456986336, 1634.6521784321196, 3.0040096649644775E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
21.0, 1837079.2346323482, 34331.40956360438, -30.54819374790638, 1634.6387492722752, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999995, 1634.9241672822893
21.5, 1837063.7787226583, 35148.72551354298, -31.27544399219717, 1634.624996556329, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
22.0, 1837047.9591893877, 35966.03450623515, -32.002688045908705, 1634.6109202870034, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
